Model,Fold,Feature,Importance
LogReg_Gene,2,11759232_at,0.16899983672399355
LogReg_Gene,2,11763329_a_at,0.16625269647543703
LogReg_Gene,3,11715380_s_at,0.1069244607894579
LogReg_Gene,3,11716395_a_at,0.10828139629550435
LogReg_Gene,3,11717186_a_at,-0.09912159633100981
LogReg_Gene,3,11717697_at,-0.2025674214044921
LogReg_Gene,3,11718218_at,-0.1314238510993759
LogReg_Gene,3,11718864_s_at,-0.13963297301961847
LogReg_Gene,3,11719368_s_at,-0.10096625202551199
LogReg_Gene,3,11719995_a_at,-0.12619605729609665
LogReg_Gene,3,11720524_a_at,-0.18175565089759116
LogReg_Gene,3,11721062_s_at,-0.1657262970488287
LogReg_Gene,3,11721693_a_at,0.15386908672174196
LogReg_Gene,3,11722150_a_at,-0.18120877194956392
LogReg_Gene,3,11722151_a_at,-0.15584061572695132
LogReg_Gene,3,11722152_s_at,-0.1376692513035165
LogReg_Gene,3,11723834_at,-0.13827055635803345
LogReg_Gene,3,11723945_s_at,0.20608840076318857
LogReg_Gene,3,11724173_at,0.10723468233690119
LogReg_Gene,3,11724283_a_at,0.1087431954819453
LogReg_Gene,3,11726871_s_at,0.15088043200550413
LogReg_Gene,3,11728388_at,0.23266073120328165
LogReg_Gene,3,11729059_x_at,0.12915203047008358
LogReg_Gene,3,11730049_at,0.1366583430003011
LogReg_Gene,3,11730294_a_at,-0.10250042292291074
LogReg_Gene,3,11730732_at,0.17490776819180093
LogReg_Gene,3,11730733_x_at,0.15140431998884207
LogReg_Gene,3,11733087_a_at,0.20562202353531497
LogReg_Gene,3,11733088_at,0.1642800138593048
LogReg_Gene,3,11733879_a_at,-0.1037131316992633
LogReg_Gene,3,11733889_a_at,-0.30289814915178714
LogReg_Gene,3,11735989_s_at,-0.22313314229014483
LogReg_Gene,3,11735990_x_at,-0.2354332068481361
LogReg_Gene,3,11736610_a_at,-0.08996464074114781
LogReg_Gene,3,11736611_s_at,-0.11974046729056533
LogReg_Gene,3,11736612_x_at,-0.10852184714662906
LogReg_Gene,3,11737486_s_at,-0.26593758074493723
LogReg_Gene,3,11739025_a_at,-0.16673473691556087
LogReg_Gene,3,11739168_a_at,0.11500267079199564
LogReg_Gene,3,11739487_s_at,-0.17398458765895916
LogReg_Gene,3,11739936_a_at,-0.13982024410548524
LogReg_Gene,3,11740879_s_at,0.19021354918886382
LogReg_Gene,3,11744890_a_at,-0.16964236803062283
LogReg_Gene,3,11745779_a_at,-0.11089627574753963
LogReg_Gene,3,11747201_a_at,-0.15781801495958908
LogReg_Gene,3,11751778_s_at,-0.16887501602426422
LogReg_Gene,3,11754183_s_at,-0.20081983987930346
LogReg_Gene,3,11755612_s_at,-0.1786655950876025
LogReg_Gene,3,11755810_s_at,-0.10273258967808255
LogReg_Gene,3,11758454_s_at,-0.1556065181177725
LogReg_Gene,3,11758776_s_at,-0.07715483173730436
LogReg_Gene,3,11759187_at,0.12947883600759552
LogReg_Gene,4,11715380_s_at,0.10607875827432861
LogReg_Gene,4,11716395_a_at,0.14270109409902174
LogReg_Gene,4,11716506_s_at,-0.11854663760872568
LogReg_Gene,4,11717186_a_at,-0.1071194173726781
LogReg_Gene,4,11717641_a_at,-0.22016924073312763
LogReg_Gene,4,11718777_at,-0.10668086445441297
LogReg_Gene,4,11718863_at,-0.10945596314074052
LogReg_Gene,4,11718864_s_at,-0.11423513056784233
LogReg_Gene,4,11719368_s_at,-0.11113491320901035
LogReg_Gene,4,11719995_a_at,-0.14190739616488085
LogReg_Gene,4,11721062_s_at,-0.15502257526778224
LogReg_Gene,4,11721438_s_at,0.25032713910588106
LogReg_Gene,4,11722150_a_at,-0.18456035320282813
LogReg_Gene,4,11722151_a_at,-0.1575443515237434
LogReg_Gene,4,11722152_s_at,-0.12575395230298603
LogReg_Gene,4,11723202_at,-0.10043274578564046
LogReg_Gene,4,11723203_s_at,-0.07083750934278728
LogReg_Gene,4,11723945_s_at,0.1732468857044081
LogReg_Gene,4,11724283_a_at,0.1800640520074827
LogReg_Gene,4,11724672_s_at,-0.17120735438331727
LogReg_Gene,4,11726769_a_at,0.16105136898171207
LogReg_Gene,4,11726871_s_at,0.20383934719424618
LogReg_Gene,4,11727479_a_at,-0.17195915083722094
LogReg_Gene,4,11728297_a_at,-0.1382656487771328
LogReg_Gene,4,11729059_x_at,0.11933561415046413
LogReg_Gene,4,11730049_at,0.14382506389551541
LogReg_Gene,4,11730294_a_at,-0.12253225743185173
LogReg_Gene,4,11730732_at,0.1588286254946834
LogReg_Gene,4,11730733_x_at,0.1425781223821659
LogReg_Gene,4,11733087_a_at,0.23873875842641712
LogReg_Gene,4,11733088_at,0.21411846178524732
LogReg_Gene,4,11733879_a_at,-0.1317699278970058
LogReg_Gene,4,11733889_a_at,-0.28214110704165907
LogReg_Gene,4,11736610_a_at,-0.12283012741360726
LogReg_Gene,4,11736611_s_at,-0.1288554265906909
LogReg_Gene,4,11736612_x_at,-0.1237763293906915
LogReg_Gene,4,11737486_s_at,-0.2524302459438551
LogReg_Gene,4,11739025_a_at,-0.16170431432824836
LogReg_Gene,4,11739168_a_at,0.13376184379784706
LogReg_Gene,4,11739487_s_at,-0.12675924319543372
LogReg_Gene,4,11739936_a_at,-0.1417842944704501
LogReg_Gene,4,11745779_a_at,-0.13000786769155967
LogReg_Gene,4,11746095_a_at,-0.16263502233592667
LogReg_Gene,4,11751778_s_at,-0.15579381920523871
LogReg_Gene,4,11754183_s_at,-0.2000337726812427
LogReg_Gene,4,11755612_s_at,-0.1845425469200241
LogReg_Gene,4,11756398_a_at,-0.07566146749844925
LogReg_Gene,4,11757803_x_at,-0.15908277491771733
LogReg_Gene,4,11758454_s_at,-0.15210704488355295
LogReg_Gene,4,11758776_s_at,-0.11050814306194887
LogReg_Gene,5,11715380_s_at,0.1809776299994486
LogReg_Gene,5,11715670_a_at,0.18922990270457088
LogReg_Gene,5,11715671_x_at,0.1861818839236138
LogReg_Gene,5,11716395_a_at,0.12383530877366944
LogReg_Gene,5,11717186_a_at,-0.14004688871009122
LogReg_Gene,5,11718777_at,-0.1591404723392501
LogReg_Gene,5,11718863_at,-0.1525563591598707
LogReg_Gene,5,11718864_s_at,-0.15704569787489123
LogReg_Gene,5,11718979_a_at,0.08291962933784204
LogReg_Gene,5,11719368_s_at,-0.11648396690791338
LogReg_Gene,5,11719995_a_at,-0.13501399060536406
LogReg_Gene,5,11722150_a_at,-0.1972569219424414
LogReg_Gene,5,11722151_a_at,-0.15334227705453626
LogReg_Gene,5,11722152_s_at,-0.1558617202527095
LogReg_Gene,5,11722332_x_at,-0.1729214945663643
LogReg_Gene,5,11723834_at,-0.15624047309846872
LogReg_Gene,5,11723945_s_at,0.2550656778308378
LogReg_Gene,5,11724283_a_at,0.09369658084159821
LogReg_Gene,5,11725340_a_at,-0.1382148882511848
LogReg_Gene,5,11726871_s_at,0.13893206146971435
LogReg_Gene,5,11727479_a_at,-0.12411827837538482
LogReg_Gene,5,11729035_at,0.11319096164340625
LogReg_Gene,5,11729059_x_at,0.18197113729096076
LogReg_Gene,5,11730049_at,0.1625859175285587
LogReg_Gene,5,11730294_a_at,-0.0952108206266369
LogReg_Gene,5,11730732_at,0.20993431948898564
LogReg_Gene,5,11730733_x_at,0.1973574184570098
LogReg_Gene,5,11733087_a_at,0.17877856533831976
LogReg_Gene,5,11733088_at,0.13539260775930784
LogReg_Gene,5,11733889_a_at,-0.33879071439399755
LogReg_Gene,5,11734857_at,-0.11691184580159167
LogReg_Gene,5,11736610_a_at,-0.08761804861460434
LogReg_Gene,5,11736611_s_at,-0.13877829852218596
LogReg_Gene,5,11736612_x_at,-0.12863977403570062
LogReg_Gene,5,11737486_s_at,-0.2981839355183349
LogReg_Gene,5,11739025_a_at,-0.16076916118269494
LogReg_Gene,5,11739168_a_at,0.10731720398961969
LogReg_Gene,5,11739487_s_at,-0.1842839815919694
LogReg_Gene,5,11739936_a_at,-0.1586472033840787
LogReg_Gene,5,11744574_x_at,-0.14016586092873098
LogReg_Gene,5,11744890_a_at,-0.14886495775780623
LogReg_Gene,5,11745645_x_at,-0.14970475942423628
LogReg_Gene,5,11745779_a_at,-0.1363568489132751
LogReg_Gene,5,11751778_s_at,-0.17685529083571253
LogReg_Gene,5,11754183_s_at,-0.1856918248188711
LogReg_Gene,5,11755612_s_at,-0.1806035896846525
LogReg_Gene,5,11755810_s_at,-0.10948922008320433
LogReg_Gene,5,11757803_x_at,-0.09213892977125637
LogReg_Gene,5,11758454_s_at,-0.15589076097737406
LogReg_Gene,5,11758776_s_at,-0.056267152399721646
RF_Gene,1,11715946_a_at,0.01372626282864712
RF_Gene,1,11717186_a_at,0.0021288786482334867
RF_Gene,1,11719368_s_at,0.10840568783068781
RF_Gene,1,11722150_a_at,0.04986231290579116
RF_Gene,1,11723945_s_at,0.06985749385749386
RF_Gene,1,11727495_at,0.01628148746964536
RF_Gene,1,11728388_at,0.01612970730321114
RF_Gene,1,11729059_x_at,0.039713404098481495
RF_Gene,1,11730049_at,0.035582199103938235
RF_Gene,1,11730732_at,0.046000000000000006
RF_Gene,1,11733087_a_at,0.004820855690210529
RF_Gene,1,11733088_at,0.029716727716727717
RF_Gene,1,11733879_a_at,0.10827342995169081
RF_Gene,1,11736610_a_at,0.008145363408521303
RF_Gene,1,11736611_s_at,0.017728571428571427
RF_Gene,1,11736612_x_at,0.059587689935925225
RF_Gene,1,11737034_a_at,0.002
RF_Gene,1,11737486_s_at,0.03199969278033794
RF_Gene,1,11739025_a_at,0.10655716858719418
RF_Gene,1,11739168_a_at,0.030544547036517582
RF_Gene,1,11754183_s_at,0.05188103319408822
RF_Gene,1,11755612_s_at,0.06827529475355562
RF_Gene,1,11758454_s_at,0.021320106349538587
RF_Gene,1,11758475_s_at,0.03973061658952263
RF_Gene,1,11758776_s_at,0.021731468531468533
RF_Gene,2,11719368_s_at,0.033853712099153895
RF_Gene,2,11722150_a_at,0.045729955926426515
RF_Gene,2,11722151_a_at,0.04373146853146854
RF_Gene,2,11722152_s_at,0.060117423175487704
RF_Gene,2,11722262_at,0.04401050916227387
RF_Gene,2,11723945_s_at,0.09241103761103761
RF_Gene,2,11726871_s_at,0.010287913331716388
